Breed,Country,Latitude,Longitude,JitterLat,JitterLng
Retrievers (Labrador),Canada,53.13,-57.66,53.465,-58.8
French Bulldogs,France,46.22,2.21,45.68,1.546
German Shepherd Dogs,Germany,51.16,10.45,51.728,10.874
Retrievers (Golden),United Kingdom,56.49,-4.2,57.431,-5.191
Bulldogs,United Kingdom,52.35,-1.17,52.163,-2.298
Poodles,Germany,51.16,10.45,50.485,10.463
Beagles,United Kingdom,52.35,-1.17,51.214,-1.893
Rottweilers,Germany,48.17,8.64,48.53,8.748
Pointers (German Shorthaired),Germany,51.16,10.45,50.489,10.664
Dachshunds,Germany,51.16,10.45,51.903,9.266
Pembroke Welsh Corgis,United Kingdom,52.2,-3.7,52.934,-3.224
Australian Shepherds,United States,38.5,-98.0,38.117,-98.827
Yorkshire Terriers,United Kingdom,53.95,-1.08,55.047,-1.472
Boxers,Germany,51.16,10.45,50.183,9.482
Great Danes,Germany,51.16,10.45,51.994,10.699
Siberian Huskies,Russia,64.0,100.0,64.737,100.551
Cavalier King Charles Spaniels,United Kingdom,52.35,-1.17,52.437,-0.035
Doberman Pinschers,Germany,50.98,11.32,50.688,11.445
Miniature Schnauzers,Germany,51.16,10.45,51.951,10.734
Shih Tzu,China,32.0,90.0,32.868,90.186
Boston Terriers,United States,42.36,-71.05,42.851,-72.14
Bernese Mountain Dogs,Switzerland,46.94,7.44,46.287,6.935
Pomeranians,Germany,53.55,14.55,52.542,13.909
Havanese,Cuba,23.11,-82.36,22.152,-82.893
Cane Corso,Italy,41.29,15.54,41.616,15.216
Spaniels (English Springer),United Kingdom,52.35,-1.17,52.038,-1.867
Shetland Sheepdogs,United Kingdom,60.35,-1.26,59.791,-0.212
Brittanys,France,48.2,-2.93,48.555,-2.668
Pugs,China,35.86,104.19,35.071,104.74
Spaniels (Cocker),United Kingdom,52.35,-1.17,51.542,-1.459
Miniature American Shepherds,United States,37.09,-95.71,38.265,-95.374
Border Collies,United Kingdom,55.5,-2.5,55.637,-2.057
Mastiffs,United Kingdom,52.35,-1.17,53.173,-0.508
Chihuahuas,Mexico,28.63,-106.08,27.98,-107.203
Vizslas,Hungary,47.16,19.5,46.717,18.943
Basset Hounds,France,46.22,2.21,45.526,3.273
Belgian Malinois,Belgium,50.85,4.35,51.753,3.905
Maltese,Malta,35.93,14.37,36.303,14.12
Weimaraners,Germany,50.98,11.32,51.975,11.221
Collies,United Kingdom,56.49,-4.2,55.926,-4.808
Newfoundlands,Canada,48.5,-55.8,48.647,-56.369
Rhodesian Ridgebacks,Zimbabwe,-19.01,29.15,-18.807,30.105
Shiba Inu,Japan,36.2,138.25,35.959,137.576
West Highland White Terriers,United Kingdom,56.49,-4.2,57.684,-4.177
Bichons Frises,France,46.22,2.21,45.238,1.123
Bloodhounds,Belgium,50.5,4.47,49.563,4.776
Akitas,Japan,39.71,140.1,40.411,139.913
Portuguese Water Dogs,Portugal,37.01,-7.93,35.962,-8.214
Retrievers (Chesapeake Bay),United States,37.09,-95.71,38.281,-95.64
Dalmatians,Croatia,43.5,16.5,44.631,17.366
St. Bernards,Switzerland,45.86,7.17,44.688,7.7
Papillons,France,46.22,2.21,46.656,2.299
Australian Cattle Dogs,Australia,-25.27,133.77,-25.83,134.108
Bullmastiffs,United Kingdom,52.35,-1.17,51.418,-1.327
Samoyeds,Russia,66.5,75.0,66.389,76.089
Scottish Terriers,United Kingdom,56.49,-4.2,57.392,-4.768
Soft Coated Wheaten Terriers,Ireland,53.14,-7.69,53.141,-8.461
Whippets,United Kingdom,53.0,-1.5,53.99,-0.611
Pointers (German Wirehaired),Germany,51.16,10.45,50.676,10.783
Chinese Shar-Pei,China,23.12,113.26,23.382,112.427
Airedale Terriers,United Kingdom,53.8,-1.8,54.43,-1.705
Wirehaired Pointing Griffons,Netherlands,52.13,5.29,52.799,5.363
Bull Terriers,United Kingdom,52.35,-1.17,51.151,-1.592
Alaskan Malamutes,United States,64.2,-149.49,63.047,-148.46
Cardigan Welsh Corgis,United Kingdom,52.08,-4.66,52.989,-3.864
Giant Schnauzers,Germany,51.16,10.45,50.698,9.389
Old English Sheepdogs,United Kingdom,52.35,-1.17,53.257,-0.097
Italian Greyhounds,Italy,41.87,12.56,40.876,12.526
Great Pyrenees,France,42.8,0.0,41.766,0.625
Dogues de Bordeaux,France,44.83,-0.57,45.468,-1.462
Russell Terriers,United Kingdom,50.8,-3.5,50.741,-3.38
Cairn Terriers,United Kingdom,56.49,-4.2,55.926,-3.306
